"#NITRaipurES18

E-Summit, NIT Raipur
"ICC: There's so many issues in international cricket right now. What to do?

Srinivasan: Let's 'fix' it..","{'keywords': [{'confidence_score': 0.745104, 'keyword': 'ICC Theres'}, {'confidence_score': 0.871908, 'keyword': 'many issues'}, {'confidence_score': 0.944491, 'keyword': 'international cricket'}, {'confidence_score': 0.799506, 'keyword': 'Srinivasan'}], 'code': 200}"
"Newton is out of Oscars.
What should be our equal and opposite reaction?
#Newton_laws ðð","{'code': 200, 'keywords': [{'confidence_score': 0.786296, 'keyword': 'Newton'}, {'confidence_score': 0.938106, 'keyword': 'Oscars'}, {'confidence_score': 0.708592, 'keyword': 'equal'}]}"
I thought of a joke on engineering but it was too 'mainstream'.,"{'code': 200, 'keywords': [{'confidence_score': 0.890863, 'keyword': 'joke'}, {'confidence_score': 0.968864, 'keyword': 'engineering'}, {'confidence_score': 0.967088, 'keyword': 'mainstream'}]}"
Happy  birthday!!,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
Happy birthday bhaia..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"I had an argument with my mom..
I said: mah life
Mom said: Maa rulz..","{'code': 200, 'keywords': [{'confidence_score': 0.977811, 'keyword': 'argument'}, {'confidence_score': 0.878201, 'keyword': 'mah life Mom'}, {'confidence_score': 0.720862, 'keyword': 'Maa rulz'}]}"
Happy  birthday  Surya!!,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"Walter White(Breaking Bad) would have made the perfect GATE candidate,
because he is the one who knocks...","{'code': 200, 'keywords': [{'confidence_score': 0.712932, 'keyword': 'Bad'}, {'confidence_score': 0.952433, 'keyword': 'perfect GATE candidate'}, {'confidence_score': 0.952361, 'keyword': 'one'}]}"
"Batsman hits four.
Akash Chopra: à¤à¤µà¥ à¤à¤¾ à¤à¤¸ à¤¶à¥à¤ à¤¸à¥ à¤¯à¥ à¤¤à¤¾à¤¤à¥à¤ªà¤°à¥à¤¯ à¤¹à¥..","{'code': 200, 'keywords': [{'confidence_score': 0.754158, 'keyword': 'four Akash Chopra'}]}"
"""Know from the experts of your field""
#ELS2K18","{'code': 200, 'keywords': [{'confidence_score': 0.969134, 'keyword': 'experts'}, {'confidence_score': 0.747177, 'keyword': 'field ELS'}]}"
Happy birthday..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"Why didn't hitler listen to anybody?

Usne apne kaano pe 'Jew' nahi rengne diye.","{'code': 200, 'keywords': [{'confidence_score': 0.9811, 'keyword': 'hitler'}, {'confidence_score': 0.736464, 'keyword': 'anybody Usne apne kaano pe Jew nahi rengne diye'}]}"
Happy Birthday..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"Your whole life is a lie.
Lazy people: Exactly!!","{'code': 200, 'keywords': [{'confidence_score': 0.858891, 'keyword': 'life'}, {'confidence_score': 0.823314, 'keyword': 'lie Lazy people'}]}"
"You can't be jailed for your grammatical errors , you would not end your sentence properly.","{'code': 200, 'keywords': [{'confidence_score': 0.948951, 'keyword': 'grammatical errors'}, {'confidence_score': 0.892523, 'keyword': 'sentence'}]}"
Happy birthday Mayank ..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"Calling SUNIL CHHETRI for ipl auctions,
Because KXIP is literally buying everything..","{'code': 200, 'keywords': [{'confidence_score': 0.862224, 'keyword': 'SUNIL CHHETRI'}, {'confidence_score': 0.930924, 'keyword': 'ipl auctions'}, {'confidence_score': 0.871716, 'keyword': 'KXIP'}, {'confidence_score': 0.907562, 'keyword': 'everything'}]}"
Happy birthday bhai..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
"girlfriend: talk dirty to me, but keep it short.
Programmer: byte me.","{'code': 200, 'keywords': [{'confidence_score': 0.585455, 'keyword': 'talk dirty'}, {'confidence_score': 0.980421, 'keyword': 'Programmer'}]}"
Happy Birthday!!,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
Happy birthday ...,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
Happy birthday sir..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
Happy Birthday Pratik Bhaia..,"{'code': 200, 'keywords': {'confidence_score': '0', 'keywords': []}}"
